<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_0;Pz.Kpfw. VI Ausf. B (H) mit Simmering Sla.16
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_1;Tiger II (H) Sla.16
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla_2;Tiger II (H) Sla.16
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_shop;Tiger II (10.5 cm Kw.K)
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_0;Pz.Kpfw. VI Ausf. B mit 10.5cm KwK L/68
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_1;Tiger II (10.5 cm Kw.K)
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46_2;Tiger II (10.5 cm Kw.K)
germ_panzerjager_tiger_P_ferdinand_shop;Ferdinand
germ_panzerjager_tiger_P_ferdinand_0;Panzerjäger Tiger (P) Ferdinand
germ_panzerjager_tiger_P_ferdinand_1;Ferdinand
germ_panzerjager_tiger_P_ferdinand_2;Ferdinand
germ_stug_III_ausf_A_shop;StuG III A
germ_stug_III_ausf_A_0;Sturmgeschütz III Ausf. A
germ_stug_III_ausf_A_1;StuG III A
germ_stug_III_ausf_A_2;StuG III A
germ_stuh_III_ausf_G_shop;StuH 42 G
germ_stuh_III_ausf_G_0;Sturmhaubitze 42 Ausf. G
germ_stuh_III_ausf_G_1;StuH 42 G
germ_stuh_III_ausf_G_2;StuH 42 G
germ_stug_III_ausf_G_shop;StuG III G
germ_stug_III_ausf_G_0;Sturmgeschütz III Ausf. G
germ_stug_III_ausf_G_1;StuG III G
germ_stug_III_ausf_G_2;StuG III G
germ_stug_III_ausf_F_shop;StuG III F
germ_stug_III_ausf_F_0;Sturmgeschütz III Ausf. F
germ_stug_III_ausf_F_1;StuG III F
germ_stug_III_ausf_F_2;StuG III F
germ_pzkpfw_38t_Marder_III_ausf_H_shop;Marder III H
germ_pzkpfw_38t_Marder_III_ausf_H_0;PaK40/3 auf Sfl.38 Ausf. H
germ_pzkpfw_38t_Marder_III_ausf_H_1;Marder III H
germ_pzkpfw_38t_Marder_III_ausf_H_2;Marder III H
germ_pzkpfw_38t_Marder_III_shop;Marder III
germ_pzkpfw_38t_Marder_III_0;Marder III
germ_pzkpfw_38t_Marder_III_1;Marder III
germ_pzkpfw_38t_Marder_III_2;Marder III
germ_sturmpanzer_II_shop;15cm sIG 33 B Sfl
germ_sturmpanzer_II_0;15cm sIG 33 B Sfl
germ_sturmpanzer_II_1;15cm sIG 33 B Sfl
germ_sturmpanzer_II_2;15cm sIG 33 B Sfl
germ_sturmpanzer_IV_brummbar_shop;Brummbär
germ_sturmpanzer_IV_brummbar_0;15cm Sturm-Panzer 43(L/12) IV "Brummbär"
germ_sturmpanzer_IV_brummbar_1;Brummbär
germ_sturmpanzer_IV_brummbar_2;Brummbär
germ_panzerjager_nashorn_shop;Nashorn
germ_panzerjager_nashorn_0;8,8 Pak 43/1 Sf."Nashorn"
germ_panzerjager_nashorn_1;Nashorn
germ_panzerjager_nashorn_2;Nashorn
germ_pzsfl_IVa_dickermax_shop;Dicker Max
germ_pzsfl_IVa_dickermax_0;10.5cm K18 Pz.Sfl.IVa "Dicker Max"
germ_pzsfl_IVa_dickermax_1;Dicker Max
germ_pzsfl_IVa_dickermax_2;Dicker Max
germ_sdkfz_251_21_shop;Sd.Kfz.251/21
germ_sdkfz_251_21_0;m.Schütz.Pz.Wg. (Sd.Kfz.251/21)
germ_sdkfz_251_21_1;Sd.Kfz.251/21
germ_sdkfz_251_21_2;Sd.Kfz.251/21
germ_sdkfz_251_22_shop;Sd.Kfz.251/22
germ_sdkfz_251_22_0;m.Schütz.Pz.Wg. (Sd.Kfz.251/22)
germ_sdkfz_251_22_1;Sd.Kfz.251/22
germ_sdkfz_251_22_2;Sd.Kfz.251/22
germ_sdkfz_251_10_shop;Sd.Kfz.251/10
germ_sdkfz_251_10_0;m.Schütz.Pz.Wg. (Sd.Kfz.251/10)
germ_sdkfz_251_10_1;Sd.Kfz.251/10
germ_sdkfz_251_10_2;Sd.Kfz.251/10
germ_pzkpfw_38t_Aufklarungspanzer_shop;Sd.Kfz. 140/1
germ_pzkpfw_38t_Aufklarungspanzer_0;Aufklärungspanzer 38(t)
germ_pzkpfw_38t_Aufklarungspanzer_1;Sd.Kfz. 140/1
germ_pzkpfw_38t_Aufklarungspanzer_2;Sd.Kfz. 140/1
germ_sdkfz_9_flak37_shop;8,8 cm Flak 37 Sfl.
germ_sdkfz_9_flak37_0;8.8cm Flak 37 Selbstfahrlafette auf 18 ton Zugkraftwagen
germ_sdkfz_9_flak37_1;8,8 cm Flak 37 Sfl.
germ_sdkfz_9_flak37_2;8,8 cm Flak 37 Sfl.
germ_pzkpfw_35t_shop;Pz.35(t)
germ_pzkpfw_35t_0;Pz.Kpfw. 35(t)
germ_pzkpfw_35t_1;Pz.35(t)
germ_pzkpfw_35t_2;Pz.35(t)
germ_pzkpfw_38t_ausf_F_shop;Pz.38(t) F
germ_pzkpfw_38t_ausf_F_0;Pz.Kpfw. 38(t) Ausf. F
germ_pzkpfw_38t_ausf_F_1;Pz.38(t) F
germ_pzkpfw_38t_ausf_F_2;Pz.38(t) F
germ_pzkpfw_38t_ausf_A_shop;Pz.38(t) A
germ_pzkpfw_38t_ausf_A_0;Pz.Kpfw. 38(t) Ausf. A
germ_pzkpfw_38t_ausf_A_1;Pz.38(t) A
germ_pzkpfw_38t_ausf_A_2;Pz.38(t) A
germ_panzerwerfer_42_shop;15 cm Pz.W.42
germ_panzerwerfer_42_0;15 cm Pz.W.42 (15 cm Nb.W.41) auf Sf.
germ_panzerwerfer_42_1;15 cm Pz.W.42
germ_panzerwerfer_42_2;15 cm Pz.W.42
germ_raketenjagdpanzer_2_shop;RakJPz 2
germ_raketenjagdpanzer_2_0;Raketenjagdpanzer 2
germ_raketenjagdpanzer_2_1;RakJPz 2
germ_raketenjagdpanzer_2_2;RakJPz 2
germ_raketenjagdpanzer_2_hot_shop;RakJPz 2 (HOT)
germ_raketenjagdpanzer_2_hot_0;Raketenjagdpanzer 2 (HOT)
germ_raketenjagdpanzer_2_hot_1;RakJPz 2 (HOT)
germ_raketenjagdpanzer_2_hot_2;RakJPz 2 (HOT)
germ_sk105_a2_shop;JaPz.K A2
germ_sk105_a2_0;JaPz.K A2
germ_sk105_a2_1;JaPz.K A2
germ_sk105_a2_2;JaPz.K A2
germ_kanonenjagdpanzer_shop;JPz 4-5
germ_kanonenjagdpanzer_0;Hanomag-Henschel JPz 4-5
germ_kanonenjagdpanzer_1;JPz 4-5
germ_kanonenjagdpanzer_2;JPz 4-5
germ_jgdpz_38t_shop;Jagdpanzer 38(t)
germ_jgdpz_38t_0;Jagdpanzer 38(t) Hetzer
germ_jgdpz_38t_1;Jagdpanzer 38(t)
germ_jgdpz_38t_2;Jagdpanzer 38(t)
germ_pzkpfw_II_ausf_H_shop;Pz.Sfl.Ic
germ_pzkpfw_II_ausf_H_0;5 cm Pak38 auf Pz.Kpfw.II Sonderfahrgestell 901
germ_pzkpfw_II_ausf_H_1;Pz.Sfl.Ic
germ_pzkpfw_II_ausf_H_2;Pz.Sfl.Ic
germ_pzkpfw_II_ausf_F_shop;Pz.II F
germ_pzkpfw_II_ausf_F_0;Pz.Kpfw. II Ausf. F
germ_pzkpfw_II_ausf_F_1;Pz.II F
germ_pzkpfw_II_ausf_F_2;Pz.II F
germ_pzkpfw_II_ausf_C_DAK_shop;Pz.II C (DAK)
germ_pzkpfw_II_ausf_C_DAK_0;Pz.Kpfw.II Ausf. C (DAK)
germ_pzkpfw_II_ausf_C_DAK_1;Pz.II C (DAK)
germ_pzkpfw_II_ausf_C_DAK_2;Pz.II C (DAK)
germ_pzkpfw_II_ausf_C_shop;Pz.II C
germ_pzkpfw_II_ausf_C_0;Pz.Kpfw. II Ausf. C
germ_pzkpfw_II_ausf_C_1;Pz.II C
germ_pzkpfw_II_ausf_C_2;Pz.II C
germ_pzkpfw_III_ausf_E_shop;Pz.III E
germ_pzkpfw_III_ausf_E_0;Pz.Kpfw. III Ausf. E
germ_pzkpfw_III_ausf_E_1;Pz.III E
germ_pzkpfw_III_ausf_E_2;Pz.III E
germ_pzkpfw_III_ausf_E_race_shop;Pz.III E
germ_pzkpfw_III_ausf_E_race_0;Pz.Kpfw. III Ausf. E
germ_pzkpfw_III_ausf_E_race_1;Pz.III E
germ_pzkpfw_III_ausf_E_race_2;Pz.III E
germ_pzkpfw_III_ausf_F_shop;Pz.III F
germ_pzkpfw_III_ausf_F_0;Pz.Kpfw. III Ausf. F
germ_pzkpfw_III_ausf_F_1;Pz.III F
germ_pzkpfw_III_ausf_F_2;Pz.III F
ussr_pzkpfw_V_shop;▂T-V
ussr_pzkpfw_V_0;"Panther"
ussr_pzkpfw_V_1;▂T-V
ussr_pzkpfw_V_2;▂T-V
ussr_pzkpfw_III_ausf_J_L42_shop;▂T-III
ussr_pzkpfw_III_ausf_J_L42_0;▂T-III
ussr_pzkpfw_III_ausf_J_L42_1;▂T-III
ussr_pzkpfw_III_ausf_J_L42_2;▂T-III
germ_nbfz_VI_shop;Nb.Fz.
germ_nbfz_VI_0;Neubaufahrzeug
germ_nbfz_VI_1;Nb.Fz.
germ_nbfz_VI_2;Nb.Fz.
germ_pzkpfw_III_ausf_B_shop;Pz.III B
germ_pzkpfw_III_ausf_B_0;Pz.Kpfw. III Ausf. B
germ_pzkpfw_III_ausf_B_1;Pz.III B
germ_pzkpfw_III_ausf_B_2;Pz.III B
germ_pzkpfw_III_ausf_J_L42_shop;Pz.III J
germ_pzkpfw_III_ausf_J_L42_0;Pz.Kpfw. III Ausf. J
germ_pzkpfw_III_ausf_J_L42_1;Pz.III J
germ_pzkpfw_III_ausf_J_L42_2;Pz.III J
germ_pzkpfw_III_ausf_J_shop;Pz.III J1
germ_pzkpfw_III_ausf_J_0;Pz.Kpfw. III Ausf. J1
germ_pzkpfw_III_ausf_J_1;Pz.III J1
germ_pzkpfw_III_ausf_J_2;Pz.III J1
germ_pzkpfw_III_ausf_L_tutorial_shop;Pz.III L
germ_pzkpfw_III_ausf_L_tutorial_0;Pz.Kpfw. III Ausf. L
germ_pzkpfw_III_ausf_L_tutorial_1;Pz.III L
germ_pzkpfw_III_ausf_L_tutorial_2;Pz.III L
germ_pzkpfw_III_ausf_L_shop;Pz.III L
germ_pzkpfw_III_ausf_L_0;Pz.Kpfw. III Ausf. L
germ_pzkpfw_III_ausf_L_1;Pz.III L
germ_pzkpfw_III_ausf_L_2;Pz.III L
germ_pzkpfw_III_ausf_M_shop;Pz.III M
germ_pzkpfw_III_ausf_M_0;Pz.Kpfw. III Ausf. M
germ_pzkpfw_III_ausf_M_1;Pz.III M
germ_pzkpfw_III_ausf_M_2;Pz.III M
germ_pzkpfw_III_ausf_N_shop;Pz.III N
germ_pzkpfw_III_ausf_N_0;Pz.Kpfw. III Ausf. N
germ_pzkpfw_III_ausf_N_1;Pz.III N
germ_pzkpfw_III_ausf_N_2;Pz.III N
germ_pzkpfw_IV_ausf_E_shop;Pz.IV E
germ_pzkpfw_IV_ausf_E_0;Pz.Kpfw. IV Ausf. E
germ_pzkpfw_IV_ausf_E_1;Pz.IV E
germ_pzkpfw_IV_ausf_E_2;Pz.IV E
germ_pzkpfw_IV_ausf_F_shop;Pz.IV F1
germ_pzkpfw_IV_ausf_F_0;Pz.Kpfw. IV Ausf. F1
germ_pzkpfw_IV_ausf_F_1;Pz.IV F1
germ_pzkpfw_IV_ausf_F_2;Pz.IV F1
germ_pzkpfw_IV_ausf_F2_shop;Pz.IV F2
germ_pzkpfw_IV_ausf_F2_0;Pz.Kpfw. IV Ausf. F2
germ_pzkpfw_IV_ausf_F2_1;Pz.IV F2
germ_pzkpfw_IV_ausf_F2_2;Pz.IV F2
germ_pzkpfw_IV_ausf_C_shop;Pz.IV C
germ_pzkpfw_IV_ausf_C_0;Pz.Kpfw. IV Ausf. C
germ_pzkpfw_IV_ausf_C_1;Pz.IV C
germ_pzkpfw_IV_ausf_C_2;Pz.IV C
germ_pzkpfw_IV_ausf_G_shop;Pz.IV G
germ_pzkpfw_IV_ausf_G_0;Pz.Kpfw. IV Ausf. G
germ_pzkpfw_IV_ausf_G_1;Pz.IV G
germ_pzkpfw_IV_ausf_G_2;Pz.IV G
germ_pzkpfw_IV_ausf_H_shop;Pz.IV H
germ_pzkpfw_IV_ausf_H_0;Pz.Kpfw. IV Ausf. H
germ_pzkpfw_IV_ausf_H_1;Pz.IV H
germ_pzkpfw_IV_ausf_H_2;Pz.IV H
germ_panzerbefelhswagen_VI_P_shop;Pz.Bef.Wg.VI P
germ_panzerbefelhswagen_VI_P_0;Panzerbefehlswagen VI P
germ_panzerbefelhswagen_VI_P_1;Pz.Bef.Wg.VI P
germ_panzerbefelhswagen_VI_P_2;Pz.Bef.Wg.VI P
germ_panzerbefelhswagen_IV_ausf_J_shop;Pz.Bef.Wg.IV J
germ_panzerbefelhswagen_IV_ausf_J_0;Pz.Bef.Wg.IV Ausf. J
germ_panzerbefelhswagen_IV_ausf_J_1;Pz.Bef.Wg.IV J
germ_panzerbefelhswagen_IV_ausf_J_2;Pz.Bef.Wg.IV J
germ_pzkpfw_IV_ausf_J_shop;Pz.IV J
germ_pzkpfw_IV_ausf_J_0;Pz.Kpfw. IV Ausf. J
germ_pzkpfw_IV_ausf_J_1;Pz.IV J
germ_pzkpfw_IV_ausf_J_2;Pz.IV J
germ_ru251_shop;Ru 251
germ_ru251_0;Spähpanzer Ru 251
germ_ru251_1;Ru 251
germ_ru251_2;Ru 251
germ_th_800_bismark_shop;Class 3 (P)
germ_th_800_bismark_0;TH800
germ_th_800_bismark_1;Class 3 (P)
germ_th_800_bismark_2;Class 3 (P)
germ_leopard_I_shop;Leopard I
germ_leopard_I_0;Leopard I
germ_leopard_I_1;Leopard I
germ_leopard_I_2;Leopard I
germ_panther_II_shop;Panther II
germ_panther_II_0;Pz.Kpfw. Panther II
germ_panther_II_1;Panther II
germ_panther_II_2;Panther II
germ_panther_II_tutorial_shop;Panther II
germ_panther_II_tutorial_0;Pz.Kpfw. Panther II
germ_panther_II_tutorial_1;Panther II
germ_panther_II_tutorial_2;Panther II
germ_leopard_c2_mexas_shop;C2A1
germ_leopard_c2_mexas_0;Leopard C2A1 MEXAS
germ_leopard_c2_mexas_1;C2A1
germ_leopard_c2_mexas_2;C2A1
it_leopard_1a5_shop;▄Leopard 1A5
it_leopard_1a5_0;▄Leopard 1A5
it_leopard_1a5_1;▄Leopard 1A5
it_leopard_1a5_2;▄Leopard 1A5
germ_leopard_1a5_shop;Leopard 1A5
germ_leopard_1a5_0;Leopard 1A5
germ_leopard_1a5_1;Leopard 1A5
germ_leopard_1a5_2;Leopard 1A5
germ_leopard_I_a1_shop;Leopard A1A1
germ_leopard_I_a1_0;Leopard A1A1
germ_leopard_I_a1_1;Leopard A1A1
germ_leopard_I_a1_2;Leopard A1A1
germ_kv_1_kwk_40_shop;▀KW I C 756 (r)
germ_kv_1_kwk_40_0;▀Pz.Kpfw. KW I C 756 (r)
germ_kv_1_kwk_40_1;▀KW I C 756 (r)
germ_kv_1_kwk_40_2;▀KW I C 756 (r)
germ_kv_2_754r_shop;▀KW II 754 (r)
germ_kv_2_754r_0;▀Pz.Kpfw. KW II 754 (r)
germ_kv_2_754r_1;▀KW II 754 (r)
germ_kv_2_754r_2;▀KW II 754 (r)
germ_kv_1B_finland_shop;▀KV-IB
germ_kv_1B_finland_0;▀KV-IB
germ_kv_1B_finland_1;▀KV-IB
germ_kv_1B_finland_2;▀KV-IB
us_m4a2_1944_germ_shop;▀M4 748 (a)
us_m4a2_1944_germ_0;▀Pz.Kpfw. M4 748 (a)
us_m4a2_1944_germ_1;▀M4 748 (a)
us_m4a2_1944_germ_2;▀M4 748 (a)
germ_pzkpfw_V_ausf_a_panther_shop;Panther A
germ_pzkpfw_V_ausf_a_panther_0;Pz.Kpfw. V Ausf. A
germ_pzkpfw_V_ausf_a_panther_1;Panther A
germ_pzkpfw_V_ausf_a_panther_2;Panther A
germ_pzkpfw_V_ausf_g_panther_shop;Panther G
germ_pzkpfw_V_ausf_g_panther_0;Pz.Kpfw. V Ausf. G
germ_pzkpfw_V_ausf_g_panther_1;Panther G
germ_pzkpfw_V_ausf_g_panther_2;Panther G
germ_pzkpfw_V_ausf_d_panther_shop;Panther D
germ_pzkpfw_V_ausf_d_panther_0;Pz.Kpfw. V Ausf. D
germ_pzkpfw_V_ausf_d_panther_1;Panther D
germ_pzkpfw_V_ausf_d_panther_2;Panther D
germ_pzkpfw_V_ausf_d_panther_tutorial_shop;Panther D
germ_pzkpfw_V_ausf_d_panther_tutorial_0;Pz.Kpfw. V Ausf. D
germ_pzkpfw_V_ausf_d_panther_tutorial_1;Panther D
germ_pzkpfw_V_ausf_d_panther_tutorial_2;Panther D
germ_pzkpfw_V_ausf_f_panther_shop;Panther F
germ_pzkpfw_V_ausf_f_panther_0;Pz.Kpfw. V Ausf. F
germ_pzkpfw_V_ausf_f_panther_1;Panther F
germ_pzkpfw_V_ausf_f_panther_2;Panther F
germ_sdkfz_6_2_flak36_shop;Sd.Kfz. 6/2
germ_sdkfz_6_2_flak36_0;3.7-cm Flak 36 auf Selbstfahrlafette Sd.Kfz. 6/2
germ_sdkfz_6_2_flak36_1;Sd.Kfz. 6/2
germ_sdkfz_6_2_flak36_2;Sd.Kfz. 6/2
germ_flakpanzer_38t_Gepard_shop;Flakpanzer 38
germ_flakpanzer_38t_Gepard_0;Flakpanzer 38, 2 cm, Pz.Fgst.38 (t) Sf.
germ_flakpanzer_38t_Gepard_1;Flakpanzer 38
germ_flakpanzer_38t_Gepard_2;Flakpanzer 38
germ_flakpanzer_I_ausf_A_shop;Flakpanzer I
germ_flakpanzer_I_ausf_A_0;Flakpanzer I Ausf. A
germ_flakpanzer_I_ausf_A_1;Flakpanzer I
germ_flakpanzer_I_ausf_A_2;Flakpanzer I
germ_pz_IV_L70_A_shop;Pz.IV/70(A)
germ_pz_IV_L70_A_0;Panzer IV/70(A)
germ_pz_IV_L70_A_1;Pz.IV/70(A)
germ_pz_IV_L70_A_2;Pz.IV/70(A)
germ_pz_IV_L70_shop;Pz.IV/70(V)
germ_pz_IV_L70_0;Panzer IV/70(V)
germ_pz_IV_L70_1;Pz.IV/70(V)
germ_pz_IV_L70_2;Pz.IV/70(V)
germ_jgdpz_IV_L48_shop;Jagdpanzer IV
germ_jgdpz_IV_L48_0;Jagdpanzer IV
germ_jgdpz_IV_L48_1;Jagdpanzer IV
germ_jgdpz_IV_L48_2;Jagdpanzer IV
germ_sdkfz_234_1_shop;Sd.Kfz.234/1
germ_sdkfz_234_1_0;s.Pz.Sp.Wg. (2 cm KwK 30 L/55) Sd.Kfz. 234/1
germ_sdkfz_234_1_1;Sd.Kfz.234/1
germ_sdkfz_234_1_2;Sd.Kfz.234/1
germ_sdkfz_234_2_shop;Sd.Kfz.234/2
germ_sdkfz_234_2_0;s.Pz.Sp.Wg. (5 cm 39/1 L60) Sd.Kfz.234/2
germ_sdkfz_234_2_1;Sd.Kfz.234/2
germ_sdkfz_234_2_2;Sd.Kfz.234/2
germ_sdkfz_234_2_td_shop;Sd.Kfz.234/2 TD
germ_sdkfz_234_2_td_0;s.Pz.Sp.Wg. (5 cm 39/1 L60)
germ_sdkfz_234_2_td_1;Sd.Kfz.234/2 TD
germ_sdkfz_234_2_td_2;Sd.Kfz.234/2 TD
germ_sdkfz_234_3_shop;Sd.Kfz.234/3
germ_sdkfz_234_3_0;s.Pz.Sp.Wg. (7,5 cm) Sd.Kfz.234/3
germ_sdkfz_234_3_1;Sd.Kfz.234/3
germ_sdkfz_234_3_2;Sd.Kfz.234/3
germ_sdkfz_234_4_shop;Sd.Kfz.234/4
germ_sdkfz_234_4_0;s.Pz.Sp.Wg. (7,5 cm) Sd.Kfz.234/4
germ_sdkfz_234_4_1;Sd.Kfz.234/4
germ_sdkfz_234_4_2;Sd.Kfz.234/4
germ_panzerbefelhswagen_jagdpanther_shop;Bfw. Jagdpanther
germ_panzerbefelhswagen_jagdpanther_0;Panzerbefehlswagen Jagdpanther Ausf.G1
germ_panzerbefelhswagen_jagdpanther_1;Bfw. Jagdpanther
germ_panzerbefelhswagen_jagdpanther_2;Bfw. Jagdpanther
germ_panzerjager_panther_shop;Jagdpanther
germ_panzerjager_panther_0;Jagdpanzer V Jagdpanther
germ_panzerjager_panther_1;Jagdpanther
germ_panzerjager_panther_2;Jagdpanther
germ_panzerjager_tiger_shop;Jagdtiger
germ_panzerjager_tiger_0;Jagdpanzer VI Jagdtiger
germ_panzerjager_tiger_1;Jagdtiger
germ_panzerjager_tiger_2;Jagdtiger
germ_panzerjager_1_shop;Panzerjäger I
germ_panzerjager_1_0;4,7 cm Pak(t) auf Pz.I Ausf.B
germ_panzerjager_1_1;Panzerjäger I
germ_panzerjager_1_2;Panzerjäger I
uk_3_inch_gun_carrier_shop;Gun Carrier (3-in)
uk_3_inch_gun_carrier_0;Gun Carrier, 3-inch, Mk I, Churchill (A22D)
uk_3_inch_gun_carrier_1;Gun Carrier (3-in)
uk_3_inch_gun_carrier_2;Gun Carrier (3-in)
uk_matilda_hedgehog_shop;Matilda Hedgehog
uk_matilda_hedgehog_0;Matilda Hedgehog
uk_matilda_hedgehog_1;Matilda Hedgehog
uk_matilda_hedgehog_2;Matilda Hedgehog
uk_a_12_mk_2_matilda_2_shop;Matilda III
uk_a_12_mk_2_matilda_2_0;Tank, Infantry, Mk IIA*, Matilda III (A12)
uk_a_12_mk_2_matilda_2_1;Matilda III
uk_a_12_mk_2_matilda_2_2;Matilda III
uk_a_22f_mk_7_churchill_1944_shop;Churchill VII
uk_a_22f_mk_7_churchill_1944_0;Tank, Infantry, Mk IV, Churchill VII (A22F)
uk_a_22f_mk_7_churchill_1944_1;Churchill VII
uk_a_22f_mk_7_churchill_1944_2;Churchill VII
uk_a27m_cromwell_5_shop;Cromwell V
uk_a27m_cromwell_5_0;Tank, Cruiser, Mk VIII, Cromwell V (A27M)
uk_a27m_cromwell_5_1;Cromwell V
uk_a27m_cromwell_5_2;Cromwell V
uk_a27m_cromwell_5_rp3_shop;Cromwell V (RP-3)
uk_a27m_cromwell_5_rp3_0;Tank, Cruiser, Mk VIII, Cromwell V (A27M) (RP-3)
uk_a27m_cromwell_5_rp3_1;Cromwell V (RP-3)
uk_a27m_cromwell_5_rp3_2;Cromwell V (RP-3)
uk_concept3_ngac_shop;Concept 3
uk_concept3_ngac_0;Concept 3, New Generation Armoured Car
uk_concept3_ngac_1;Concept 3
uk_concept3_ngac_2;Concept 3
uk_eland_90_mk_7_shop;Eland 90 Mk.7
uk_eland_90_mk_7_0;Eland 90 Mk.7
uk_eland_90_mk_7_1;Eland 90 Mk.7
uk_eland_90_mk_7_2;Eland 90 Mk.7
uk_marmon_herrington_mk_6_6pdr_shop;SARC MkVI (6pdr)
uk_marmon_herrington_mk_6_6pdr_0;SARC MkVI (6pdr)
uk_marmon_herrington_mk_6_6pdr_1;SARC MkVI (6pdr)
uk_marmon_herrington_mk_6_6pdr_2;SARC MkVI (6pdr)
uk_marmon_herrington_mk_6_2pdr_shop;SARC MkVI (2pdr)
uk_marmon_herrington_mk_6_2pdr_0;SARC MkVI (2pdr)
uk_marmon_herrington_mk_6_2pdr_1;SARC MkVI (2pdr)
uk_marmon_herrington_mk_6_2pdr_2;SARC MkVI (2pdr)
uk_ystervark_spaa_shop;Ystervark
uk_ystervark_spaa_0;Ystervark
uk_ystervark_spaa_1;Ystervark
uk_ystervark_spaa_2;Ystervark
uk_ratel_20_shop;Ratel 20
uk_ratel_20_0;Ratel 20
uk_ratel_20_1;Ratel 20
uk_ratel_20_2;Ratel 20
uk_ttd_shop;TTD
uk_ttd_0;TTD
uk_ttd_1;TTD
uk_ttd_2;TTD
uk_ratel_zt3_shop;ZT3A2
uk_ratel_zt3_0;ZT3A2 Ratel
uk_ratel_zt3_1;ZT3A2
uk_ratel_zt3_2;ZT3A2
uk_rooikat_za_35_shop;ZA-35
uk_rooikat_za_35_0;Rooikat ZA-35
uk_rooikat_za_35_1;ZA-35
uk_rooikat_za_35_2;ZA-35
uk_rooikat_mttd_shop;Rooikat MTTD
uk_rooikat_mttd_0;Rooikat MTTD
uk_rooikat_mttd_1;Rooikat MTTD
uk_rooikat_mttd_2;Rooikat MTTD
uk_olifant_mk_2_shop;Olifant Mk.2
uk_olifant_mk_2_0;Olifant Mk.2
uk_olifant_mk_2_1;Olifant Mk.2
uk_olifant_mk_2_2;Olifant Mk.2
uk_olifant_mk_1a_shop;Olifant Mk.1A
uk_olifant_mk_1a_0;Olifant Mk.1A
uk_olifant_mk_1a_1;Olifant Mk.1A
uk_olifant_mk_1a_2;Olifant Mk.1A
uk_ratel_90_shop;Ratel 90
uk_ratel_90_0;Ratel 90
uk_ratel_90_1;Ratel 90
uk_ratel_90_2;Ratel 90
uk_a30_challenger_shop;Challenger
uk_a30_challenger_0;Tank, Cruiser, Challenger (A30)
uk_a30_challenger_1;Challenger
uk_a30_challenger_2;Challenger
uk_a30_sp_avenger_shop;Avenger
uk_a30_sp_avenger_0;Self Propelled 17pdr, A30 (Avenger)
uk_a30_sp_avenger_1;Avenger
uk_a30_sp_avenger_2;Avenger
uk_a39_tortoise_shop;Tortoise
uk_a39_tortoise_0;A39 Tortoise
uk_a39_tortoise_1;Tortoise
uk_a39_tortoise_2;Tortoise
uk_fv4004_conway_shop;Conway
uk_fv4004_conway_0;FV4004 Conway
uk_fv4004_conway_1;Conway
uk_fv4004_conway_2;Conway
uk_fv438_swingfire_shop;Swingfire
uk_fv438_swingfire_0;FV438 Swingfire
uk_fv438_swingfire_1;Swingfire
uk_fv438_swingfire_2;Swingfire
uk_armored_car_mk_2_aa_shop;AEC AA
uk_armored_car_mk_2_aa_0;Armoured Car, AEC AA
uk_armored_car_mk_2_aa_1;AEC AA
uk_armored_car_mk_2_aa_2;AEC AA
uk_crusader_aa_mk_1_shop;Crusader AA Mk I
uk_crusader_aa_mk_1_0;Crusader AA Mk I
uk_crusader_aa_mk_1_1;Crusader AA Mk I
uk_crusader_aa_mk_1_2;Crusader AA Mk I
uk_crusader_aa_mk_2_shop;Crusader AA Mk II
uk_crusader_aa_mk_2_0;Tank, Cruiser, Crusader III, AA Mk II
uk_crusader_aa_mk_2_1;Crusader AA Mk II
uk_crusader_aa_mk_2_2;Crusader AA Mk II
uk_centaur_aa_mk_1_shop;Crusader AA Mk I
uk_centaur_aa_mk_1_0;Crusader AA Mk I
uk_centaur_aa_mk_1_1;Crusader AA Mk I
uk_centaur_aa_mk_1_2;Crusader AA Mk I
uk_centaur_aa_mk_2_shop;Crusader AA Mk II
uk_centaur_aa_mk_2_0;Crusader AA Mk II
uk_centaur_aa_mk_2_1;Crusader AA Mk II
uk_centaur_aa_mk_2_2;Crusader AA Mk II
uk_centurion_mk_5_raac_shop;Centurion Mk.5/1
uk_centurion_mk_5_raac_0;Centurion Mk.5/1 (RAAC)
uk_centurion_mk_5_raac_1;Centurion Mk.5/1
uk_centurion_mk_5_raac_2;Centurion Mk.5/1
uk_centurion_mk_10_shop;Centurion Mk 10
uk_centurion_mk_10_0;Centurion Mk 10
uk_centurion_mk_10_1;Centurion Mk 10
uk_centurion_mk_10_2;Centurion Mk 10
uk_charioteer_mk_7_shop;Charioteer Mk VII
uk_charioteer_mk_7_0;Tank, Medium Gun, Charioteer Mk VII
uk_charioteer_mk_7_1;Charioteer Mk VII
uk_charioteer_mk_7_2;Charioteer Mk VII
